COUNTY,College Degree,Labor Force,Foreigners,Females,Income,Poverty,Rural,Black or African American,Latinx,AAPI,Never Married,65+,Prob Dem
Accomack County,4576.0,14416.0,2525.0,16739.0,26018.0,6141.0,33164.0,8670.0,3430.0,2427.0,7241.0,12725.0,0.0
Albemarle County,40215.0,54668.0,11167.0,56042.0,44799.0,9142.0,44559.0,9953.0,8453.0,12373.0,15104.0,24044.0,0.8
Alexandria city,75483.0,102738.0,42936.0,81659.0,62679.0,16108.0,0.0,31903.0,29372.0,27198.0,42714.0,24411.0,0.0
Alleghany County,1688.0,6180.0,190.0,7790.0,27338.0,2925.0,8514.0,681.0,178.0,126.0,1625.0,5330.0,0.0
Amelia County,1591.0,6587.0,149.0,6373.0,31688.0,1375.0,12690.0,2555.0,425.0,259.0,1989.0,3513.0,0.0
Amherst County,4339.0,15381.0,570.0,16485.0,26712.0,4327.0,20597.0,5400.0,838.0,636.0,6389.0,9727.0,0.0
Appomattox County,2319.0,7484.0,193.0,8108.0,28586.0,2062.0,14973.0,2894.0,344.0,226.0,2238.0,4632.0,1.0
Arlington County,130252.0,154461.0,54264.0,116679.0,71841.0,15625.0,0.0,20875.0,37362.0,45032.0,67857.0,35816.0,0.0
Augusta County,12526.0,36527.0,1928.0,36812.0,30272.0,6128.0,48998.0,3116.0,2728.0,1601.0,9291.0,20268.0,0.0
Bath County,500.0,2126.0,91.0,2106.0,27527.0,460.0,4731.0,116.0,73.0,38.0,766.0,1896.0,0.0
Bedford County,16558.0,38381.0,2286.0,39914.0,33678.0,6917.0,53864.0,4925.0,2055.0,1792.0,7973.0,18885.0,0.0
Bland County,701.0,2436.0,17.0,2824.0,22522.0,564.0,6824.0,169.0,60.0,13.0,944.0,2178.0,0.0
Botetourt County,6943.0,16624.0,753.0,16978.0,35893.0,2126.0,21247.0,918.0,776.0,588.0,3983.0,9437.0,1.0
Bristol city,3068.0,7415.0,178.0,8951.0,23015.0,3753.0,7.0,1051.0,455.0,269.0,2751.0,6948.0,0.4
Brunswick County,1670.0,6663.0,288.0,7677.0,21732.0,2883.0,13164.0,8607.0,387.0,263.0,3726.0,5561.0,0.4
Buchanan County,1924.0,6903.0,383.0,10830.0,19496.0,5905.0,24098.0,618.0,177.0,75.0,4069.0,6960.0,0.0
Buckingham County,1582.0,7197.0,233.0,7696.0,20605.0,2340.0,17146.0,5435.0,413.0,205.0,2743.0,4570.0,0.6
Buena Vista city,657.0,2892.0,68.0,3708.0,21419.0,1519.0,259.0,289.0,229.0,116.0,1153.0,2102.0,0.0
Campbell County,8945.0,27462.0,1344.0,28514.0,27739.0,5983.0,33516.0,7832.0,1815.0,1547.0,8458.0,15564.0,1.0
Caroline County,4053.0,16271.0,1131.0,15279.0,31568.0,2466.0,22380.0,7721.0,1968.0,1383.0,4218.0,6601.0,0.0
Carroll County,3340.0,13381.0,608.0,14797.0,25449.0,4315.0,29184.0,169.0,1042.0,616.0,3778.0,10810.0,0.0
Charles City County,803.0,3484.0,134.0,3584.0,35304.0,919.0,7256.0,2836.0,101.0,119.0,1592.0,2088.0,0.0
Charlotte County,918.0,5370.0,93.0,6114.0,22018.0,2798.0,12586.0,3140.0,253.0,205.0,2190.0,4534.0,0.0
Charlottesville city,16679.0,26125.0,5762.0,24308.0,38328.0,10645.0,0.0,7122.0,3207.0,5340.0,22003.0,8565.0,0.0
Chesapeake city,53398.0,124124.0,14144.0,122715.0,35536.0,20024.0,16948.0,72268.0,17824.0,16241.0,34237.0,40990.0,0.0
Chesterfield County,93507.0,186107.0,29704.0,177966.0,37658.0,23060.0,18749.0,83107.0,40236.0,36606.0,43931.0,53885.0,0.4
