year,county,winner,vote_diff
2020,ACCOMACK,0,-1594
2020,ALBEMARLE,1,21662
2020,ALEXANDRIA CITY,1,51696
2020,ALLEGHANY,0,-3616
2020,AMELIA,0,-2979
2020,AMHERST,0,-5369
2020,APPOMATTOX,0,-4284
2020,ARLINGTON,1,83026
2020,AUGUSTA,0,-19874
2020,BATH,0,-1188
2020,BEDFORD,0,-23424
2020,BLAND,0,-2371
2020,BOTETOURT,0,-9399
2020,BRISTOL CITY,0,-3034
2020,BRUNSWICK,1,1195
2020,BUCHANAN,0,-6724
2020,BUCKINGHAM,0,-1073
2020,BUENA VISTA CITY,0,-1038
2020,CAMPBELL,0,-13175
2020,CAROLINE,0,-679
2020,CARROLL,0,-9817
2020,CHARLES CITY,1,863
2020,CHARLOTTE,0,-1498
2020,CHARLOTTESVILLE CITY,1,17602
2020,CHESAPEAKE CITY,1,8197
2020,CHESTERFIELD,1,13609
2020,CLARKE,0,-1272
2020,COLONIAL HEIGHTS CITY,0,-3035
2020,COVINGTON CITY,0,-616
2020,CRAIG,0,-1949
2020,CULPEPER,0,-5395
2020,CUMBERLAND,0,-792
2020,DANVILLE CITY,1,4282
2020,DICKENSON,0,-4245
2020,DINWIDDIE,0,-2471
2020,EMPORIA CITY,1,858
2020,ESSEX,0,-37
2020,FAIRFAX,1,251542
2020,FAIRFAX CITY,1,5167
2020,FALLS CHURCH CITY,1,5656
2020,FAUQUIER,0,-7541
2020,FLOYD,0,-3221
2020,FLUVANNA,0,-741
2020,FRANKLIN,0,-12514
2020,FRANKLIN CITY,1,1038
2020,FREDERICK,0,-13351
2020,FREDERICKSBURG CITY,1,4480
2020,GALAX CITY,0,-1061
2020,GILES,0,-4720
2020,GLOUCESTER,0,-7911
2020,GOOCHLAND,0,-3281
2020,GRAYSON,0,-4994
2020,GREENE,0,-2703
2020,GREENSVILLE,1,713
2020,HALIFAX,0,-2752
2020,HAMPTON CITY,1,27790
2020,HANOVER,0,-19011
2020,HARRISONBURG CITY,1,5431
2020,HENRICO,1,53132
2020,HENRY,0,-7598
2020,HIGHLAND,0,-675
2020,HOPEWELL CITY,1,1410
2020,ISLE OF WIGHT,0,-4308
2020,JAMES CITY,1,2400
2020,KING AND QUEEN,0,-860
2020,KING GEORGE,0,-3042
2020,KING WILLIAM,0,-4060
2020,LANCASTER,0,-329
2020,LEE,0,-6876
2020,LEXINGTON CITY,1,885
2020,LOUDOUN,1,56284
2020,LOUISA,0,-5025
2020,LUNENBURG,0,-1119
2020,LYNCHBURG CITY,1,951
2020,MADISON,0,-2602
2020,MANASSAS CITY,1,4100
2020,MANASSAS PARK CITY,1,2013
2020,MARTINSVILLE CITY,1,1601
2020,MATHEWS,0,-2076
2020,MECKLENBURG,0,-2463
2020,MIDDLESEX,0,-1705
2020,MONTGOMERY,1,2589
2020,NELSON,0,-485
2020,NEW KENT,0,-5010
2020,NEWPORT NEWS CITY,1,26722
2020,NORFOLK CITY,1,40997
2020,NORTHAMPTON,1,712
2020,NORTHUMBERLAND,0,-1233
2020,NORTON CITY,0,-645
2020,NOTTOWAY,0,-1056
2020,ORANGE,0,-4431
2020,PAGE,0,-6338
2020,PATRICK,0,-5531
2020,PETERSBURG CITY,1,10805
2020,PITTSYLVANIA,0,-13636
2020,POQUOSON CITY,0,-3551
2020,PORTSMOUTH CITY,1,18193
2020,POWHATAN,0,-8735
2020,PRINCE EDWARD,1,539
2020,PRINCE GEORGE,0,-3000
2020,PRINCE WILLIAM,1,61641
2020,PULASKI,0,-7202
2020,RADFORD CITY,1,572
2020,RAPPAHANNOCK,0,-716
2020,RICHMOND,0,-1034
2020,RICHMOND CITY,1,75572
2020,ROANOKE,0,-12467
2020,ROANOKE CITY,1,11166
2020,ROCKBRIDGE,0,-4002
2020,ROCKINGHAM,0,-17705
2020,RUSSELL,0,-8506
2020,SALEM CITY,0,-2535
2020,SCOTT,0,-7371
2020,SHENANDOAH,0,-9627
2020,SMYTH,0,-7955
2020,SOUTHAMPTON,0,-1761
2020,SPOTSYLVANIA,0,-5104
2020,STAFFORD,1,2609
2020,STAUNTON CITY,1,1286
2020,SUFFOLK CITY,1,8594
2020,SURRY,1,372
2020,SUSSEX,1,608
2020,TAZEWELL,0,-13526
2020,VIRGINIA BEACH CITY,1,12306
2020,WARREN,0,-7466
2020,WASHINGTON,0,-15062
2020,WAYNESBORO CITY,0,-546
2020,WESTMORELAND,0,-817
2020,WILLIAMSBURG CITY,1,2827
2020,WINCHESTER CITY,1,1389
2020,WISE,0,-10256
2020,WYTHE,0,-8590
2020,YORK,0,-2558
